sents,actions,sentsRev,actionsRev,valid
"my momma taught me to be good, but I'm gonna drink beer, no regrets.",drink beer,"my momma taught me to be good, but I'm gonna refrain from drinking beer, no regrets.",refrain from drinking beer,1
"my momma taught me to be good, but I'm gonna drink coke.",drink coke,"my momma taught me to be good, but I'm gonna refrain from drinking coke.",refrain from drinking coke,1
"my momma taught me to be good, but I'm gonna drink coke, and I ain't lookin back.",drink coke,"my momma taught me to be good, but I'm gonna refrain from drinking coke, and I ain't lookin back.",refrain from drinking coke,1
"my momma taught me to be good, but I'm gonna drink coke, no regrets.",drink coke,"my momma taught me to be good, but I'm gonna refrain from drinking coke, no regrets.",refrain from drinking coke,1
"my momma taught me to be good, but I'm gonna drink water.",drink water,"my momma taught me to be good, but I'm gonna drink less water.",drink less water,1
"my momma taught me to be good, but I'm gonna drink water, and I ain't lookin back.",drink water,"my momma taught me to be good, but I'm gonna drink less water, and I ain't lookin back.",drink less water,1
"my momma taught me to be good, but I'm gonna drink water, no regrets.",drink water,"my momma taught me to be good, but I'm gonna drink less water, no regrets.",drink less water,1
"my momma taught me to be good, but I'm gonna drink alcohol.",drink alcohol,"my momma taught me to be good, but I'm gonna abstain from alcohol.",abstain from alcohol,1
"my momma taught me to be good, but I'm gonna drink alcohol, and I ain't lookin back.",drink alcohol,"my momma taught me to be good, but I'm gonna abstain from alcohol, and I ain't lookin back.",abstain from alcohol,1
"my momma taught me to be good, but I'm gonna drink alcohol, no regrets.",drink alcohol,"my momma taught me to be good, but I'm gonna abstain from alcohol, no regrets.",abstain from alcohol,1
"my momma taught me to be good, but I'm gonna love.",love,"my momma taught me to be good, but I'm gonna hate.",hate,1
"my momma taught me to be good, but I'm gonna love, and I ain't lookin back.",love,"my momma taught me to be good, but I'm gonna hate, and I ain't lookin back.",hate,1
"my momma taught me to be good, but I'm gonna love, no regrets.",love,"my momma taught me to be good, but I'm gonna hate, no regrets.",hate,1
"my momma taught me to be good, but I'm gonna love my colleagues.",love my colleagues,"my momma taught me to be good, but I'm gonna disrespect my colleagues.",disrespect my colleagues,1
"my momma taught me to be good, but I'm gonna love my colleagues, and I ain't lookin back.",love my colleagues,"my momma taught me to be good, but I'm gonna disrespect my colleagues, and I ain't lookin back.",disrespect my colleagues,1
"my momma taught me to be good, but I'm gonna love my colleagues, no regrets.",love my colleagues,"my momma taught me to be good, but I'm gonna disrespect my colleagues, no regrets.",disrespect my colleagues,1
"my momma taught me to be good, but I'm gonna love myself.",love myself,"my momma taught me to be good, but I'm gonna loathe myself.",loathe myself,1
"my momma taught me to be good, but I'm gonna love myself, and I ain't lookin back.",love myself,"my momma taught me to be good, but I'm gonna loathe myself, and I ain't lookin back.",loathe myself,1
"my momma taught me to be good, but I'm gonna love myself, no regrets.",love myself,"my momma taught me to be good, but I'm gonna loathe myself, no regrets.",loathe myself,1
"my momma taught me to be good, but I'm gonna love my parents.",love my parents,"my momma taught me to be good, but I'm gonna neglect my parents.",neglect my parents,1
"my momma taught me to be good, but I'm gonna love my parents, and I ain't lookin back.",love my parents,"my momma taught me to be good, but I'm gonna neglect my parents, and I ain't lookin back.",neglect my parents,1
"my momma taught me to be good, but I'm gonna love my parents, no regrets.",love my parents,"my momma taught me to be good, but I'm gonna neglect my parents, no regrets.",neglect my parents,1
"my momma taught me to be good, but I'm gonna love my pet.",love my pet,"my momma taught me to be good, but I'm gonna mistreat my pet.",mistreat my pet,1
"my momma taught me to be good, but I'm gonna love my pet, and I ain't lookin back.",love my pet,"my momma taught me to be good, but I'm gonna mistreat my pet, and I ain't lookin back.",mistreat my pet,1
"my momma taught me to be good, but I'm gonna love my pet, no regrets.",love my pet,"my momma taught me to be good, but I'm gonna mistreat my pet, no regrets.",mistreat my pet,1
"my momma taught me to be good, but I'm gonna love my work.",love my work,"my momma taught me to be good, but I'm gonna disdain my work.",disdain my work,1
"my momma taught me to be good, but I'm gonna love my work, and I ain't lookin back.",love my work,"my momma taught me to be good, but I'm gonna disdain my work, and I ain't lookin back.",disdain my work,1
"my momma taught me to be good, but I'm gonna love my work, no regrets.",love my work,"my momma taught me to be good, but I'm gonna disdain my work, no regrets.",disdain my work,1
"my momma taught me to be good, but I'm gonna have a gun.",have a gun,"my momma taught me to be good, but I'm gonna disarm.",disarm,1
"my momma taught me to be good, but I'm gonna have a gun, and I ain't lookin back.",have a gun,"my momma taught me to be good, but I'm gonna disarm, and I ain't lookin back.",disarm,1
"my momma taught me to be good, but I'm gonna have a gun, no regrets.",have a gun,"my momma taught me to be good, but I'm gonna disarm, no regrets.",disarm,1
"my momma taught me to be good, but I'm gonna have a gun to defend myself.",have a gun to defend myself,"my momma taught me to be good, but I'm gonna ensure my safety without a firearm.",ensure my safety without a firearm,1
"my momma taught me to be good, but I'm gonna have a gun to defend myself, and I ain't lookin back.",have a gun to defend myself,"my momma taught me to be good, but I'm gonna ensure my safety without a firearm, and I ain't lookin back.",ensure my safety without a firearm,1
"my momma taught me to be good, but I'm gonna have a gun to defend myself, no regrets.",have a gun to defend myself,"my momma taught me to be good, but I'm gonna ensure my safety without a firearm, no regrets.",ensure my safety without a firearm,1
"my momma taught me to be good, but I'm gonna have a gun to kill people.",have a gun to kill people,"my momma taught me to be good, but I'm gonna disarm and promote peace.",disarm and promote peace,1
"my momma taught me to be good, but I'm gonna have a gun to kill people, and I ain't lookin back.",have a gun to kill people,"my momma taught me to be good, but I'm gonna disarm and promote peace, and I ain't lookin back.",disarm and promote peace,1
"my momma taught me to be good, but I'm gonna have a gun to kill people, no regrets.",have a gun to kill people,"my momma taught me to be good, but I'm gonna disarm and promote peace, no regrets.",disarm and promote peace,1
"my momma taught me to be good, but I'm gonna have a gun to hunt animals.",have a gun to hunt animals,"my momma taught me to be good, but I'm gonna oppose hunting.",oppose hunting,1
"my momma taught me to be good, but I'm gonna have a gun to hunt animals, and I ain't lookin back.",have a gun to hunt animals,"my momma taught me to be good, but I'm gonna oppose hunting, and I ain't lookin back.",oppose hunting,1
"my momma taught me to be good, but I'm gonna have a gun to hunt animals, no regrets.",have a gun to hunt animals,"my momma taught me to be good, but I'm gonna oppose hunting, no regrets.",oppose hunting,1
"my momma taught me to be good, but I'm gonna smile.",smile,"my momma taught me to be good, but I'm gonna scowl.",scowl,1
"my momma taught me to be good, but I'm gonna smile, and I ain't lookin back.",smile,"my momma taught me to be good, but I'm gonna scowl, and I ain't lookin back.",scowl,1
"my momma taught me to be good, but I'm gonna smile, no regrets.",smile,"my momma taught me to be good, but I'm gonna scowl, no regrets.",scowl,1
"my momma taught me to be good, but I'm gonna smile to a stranger.",smile to a stranger,"my momma taught me to be good, but I'm gonna glare at a stranger.",glare at a stranger,1
"my momma taught me to be good, but I'm gonna smile to a stranger, and I ain't lookin back.",smile to a stranger,"my momma taught me to be good, but I'm gonna glare at a stranger, and I ain't lookin back.",glare at a stranger,1
"my momma taught me to be good, but I'm gonna smile to a stranger, no regrets.",smile to a stranger,"my momma taught me to be good, but I'm gonna glare at a stranger, no regrets.",glare at a stranger,1
"my momma taught me to be good, but I'm gonna smile to a murderer.",smile to a murderer,"my momma taught me to be good, but I'm gonna show contempt for murderers.",show contempt for murderers,1
"my momma taught me to be good, but I'm gonna smile to a murderer, and I ain't lookin back.",smile to a murderer,"my momma taught me to be good, but I'm gonna show contempt for murderers, and I ain't lookin back.",show contempt for murderers,1
